Removed Node,Largest SCC Size,Percentage of Total
1,2866,43.22775263951735
2,2865,43.21266968325792
3,2864,43.197586726998495
4,2862,43.16742081447964
5,2861,43.152337858220214
6,2847,42.94117647058823
7,2841,42.85067873303167
8,2840,42.835595776772244
9,2827,42.639517345399696
10,2826,42.62443438914027
11,2825,42.60935143288084
12,2823,42.57918552036199
13,2822,42.56410256410256
14,2820,42.53393665158371
15,2819,42.51885369532428
16,2817,42.48868778280543
17,2806,42.32277526395173
18,2801,42.2473604826546
19,2799,42.217194570135746
20,2797,42.18702865761689
21,2796,42.171945701357465
22,2795,42.15686274509804
23,2793,42.126696832579185
24,2792,42.11161387631976
25,2787,42.036199095022624
26,2784,41.990950226244344
27,2781,41.94570135746606
28,2778,41.90045248868778
29,2774,41.840120663650076
30,2745,41.40271493212669
31,2734,41.236802413273
32,2732,41.20663650075414
33,2730,41.17647058823529
34,2729,41.16138763197586
35,2727,41.13122171945701
36,2724,41.08597285067873
37,2723,41.0708898944193
38,2721,41.04072398190045
39,2720,41.02564102564102
40,2719,41.010558069381595
41,2718,40.99547511312217
42,2700,40.723981900452486
43,2697,40.678733031674206
44,2696,40.66365007541478
45,2695,40.64856711915535
46,2679,40.40723981900452
47,2677,40.37707390648567
48,2672,40.301659125188536
49,2670,40.27149321266968
50,2660,40.120663650075414
51,2659,40.10558069381599
52,2654,40.030165912518854
53,2653,40.01508295625943
54,2648,39.93966817496229
55,2646,39.90950226244344
56,2644,39.879336349924586
57,2641,39.834087481146305
58,2635,39.743589743589745
59,2632,39.698340874811464
60,2631,39.68325791855204
61,2629,39.653092006033184
62,2626,39.6078431372549
63,2621,39.53242835595777
64,2619,39.502262443438916
65,2616,39.457013574660635
66,2615,39.44193061840121
67,2614,39.42684766214178
68,2613,39.411764705882355
69,2611,39.3815987933635
70,2601,39.23076923076923
71,2584,38.97435897435898
72,2580,38.91402714932127
73,2577,38.86877828054299
74,2576,38.853695324283564
75,2563,38.657616892911015
76,2558,38.58220211161388
77,2557,38.567119155354455
78,2554,38.521870286576174
79,2553,38.50678733031675
80,2549,38.44645550527904
81,2546,38.40120663650076
82,2529,38.1447963800905
83,2527,38.114630467571644
84,2522,38.03921568627451
85,2518,37.9788838612368
86,2513,37.90346907993967
87,2512,37.88838612368024
88,2511,37.873303167420815
89,2510,37.85822021116139
90,2508,37.828054298642535
91,2504,37.76772247360483
92,2501,37.72247360482655
93,2500,37.70739064856712
94,2498,37.67722473604827
95,2497,37.66214177978884
96,2485,37.48114630467572
97,2482,37.43589743589744
98,2473,37.3001508295626
99,2470,37.254901960784316
100,2464,37.164404223227756
101,2461,37.119155354449475
102,2441,36.81749622926094
103,2440,36.80241327300151
104,2438,36.77224736048266
105,2434,36.711915535444945
106,2433,36.69683257918552
107,2432,36.68174962292609
108,2431,36.666666666666664
109,2429,36.63650075414781
110,2423,36.54600301659125
111,2421,36.515837104072396
112,2420,36.50075414781297
113,2417,36.45550527903469
114,2400,36.199095022624434
115,2394,36.10859728506787
116,2392,36.07843137254902
117,2387,36.003016591251885
118,2376,35.83710407239819
119,2375,35.822021116138764
120,2374,35.80693815987934
121,2373,35.79185520361991
122,2372,35.77677224736048
123,2365,35.671191553544496
124,2362,35.625942684766216
125,2353,35.490196078431374
126,2351,35.46003016591252
127,2349,35.42986425339367
128,2348,35.41478129713424
129,2337,35.248868778280546
130,2334,35.203619909502265
131,2315,34.91704374057315
132,2303,34.73604826546003
133,2300,34.69079939668175
134,2298,34.660633484162894
135,2297,34.64555052790347
136,2291,34.555052790346906
137,2287,34.4947209653092
138,2286,34.47963800904977
139,2280,34.38914027149321
140,2273,34.283559577677224
141,2272,34.2684766214178
142,2271,34.25339366515837
143,2268,34.20814479638009
144,2260,34.087481146304675
145,2259,34.07239819004525
146,2251,33.951734539969834
147,2249,33.92156862745098
148,2246,33.8763197586727
149,2243,33.83107088989442
150,2239,33.77073906485671
151,2238,33.755656108597286
152,2237,33.74057315233786
153,2231,33.6500754147813
154,2219,33.46907993966817
155,2217,33.438914027149316
156,2213,33.37858220211161
157,2210,33.33333333333333
158,2205,33.257918552036195
159,2204,33.24283559577677
160,2201,33.19758672699849
161,2196,33.12217194570135
162,2194,33.0920060331825
163,2193,33.07692307692307
164,2192,33.061840120663646
165,2188,33.00150829562594
166,2186,32.971342383107086
167,2184,32.94117647058823
168,2180,32.880844645550525
169,2177,32.835595776772244
170,2176,32.82051282051282
171,2175,32.80542986425339
172,2163,32.62443438914027
173,2160,32.57918552036199
174,2157,32.53393665158371
175,2155,32.503770739064855
176,2154,32.48868778280543
177,2153,32.473604826546
178,2149,32.413273001508294
179,2148,32.39819004524887
180,2147,32.38310708898944
181,2145,32.35294117647059
182,2143,32.32277526395173
183,2140,32.27752639517345
184,2139,32.262443438914026
185,2134,32.18702865761689
186,2128,32.09653092006033
187,2127,32.081447963800905
188,2125,32.05128205128205
189,2117,31.930618401206633
190,2116,31.915535444947206
191,2115,31.90045248868778
192,2113,31.870286576168926
193,2102,31.70437405731523
194,2100,31.674208144796378
195,2087,31.47812971342383
196,2074,31.28205128205128
197,2070,31.221719457013574
198,2062,31.10105580693816
199,2059,31.05580693815988
200,2037,30.72398190045249
201,2035,30.693815987933636
202,2033,30.663650075414782
203,2032,30.648567119155356
204,2031,30.63348416289593
205,1897,28.612368024132728
206,1895,28.582202111613874
207,1892,28.536953242835594
208,1889,28.491704374057313
209,1887,28.46153846153846
210,1873,28.250377073906485
211,1871,28.22021116138763
212,1870,28.205128205128204
213,1868,28.17496229260935
214,1867,28.159879336349924
215,1864,28.114630467571644
216,1863,28.099547511312217
217,1862,28.08446455505279
218,1860,28.054298642533936
219,1856,27.99396681749623
220,1849,27.88838612368024
221,1847,27.858220211161388
222,1832,27.631975867269986
223,1829,27.586726998491706
224,1826,27.541478129713425
225,1822,27.48114630467572
226,1818,27.42081447963801
227,1817,27.405731523378584
228,1816,27.390648567119158
229,1807,27.254901960784313
230,1804,27.209653092006032
231,1801,27.164404223227752
232,1793,27.043740573152338
233,1778,26.817496229260936
234,1777,26.80241327300151
235,1143,17.239819004524886
236,1143,17.239819004524886
237,1139,17.17948717948718
238,1137,17.149321266968325
239,1134,17.104072398190045
240,1134,17.104072398190045
241,1134,17.104072398190045
242,1123,16.93815987933635
243,1117,16.84766214177979
244,1117,16.84766214177979
245,1117,16.84766214177979
246,1117,16.84766214177979
247,1110,16.7420814479638
248,1104,16.651583710407238
249,1104,16.651583710407238
250,1104,16.651583710407238
251,1100,16.59125188536953
252,1098,16.561085972850677
253,1098,16.561085972850677
