Removed Node,Largest SCC Size,Percentage of Total
254,1098,16.561085972850677
255,1098,16.561085972850677
256,1097,16.54600301659125
257,1070,16.138763197586727
258,1068,16.108597285067873
259,1067,16.093514328808446
260,1065,16.063348416289593
261,1065,16.063348416289593
262,1059,15.97285067873303
263,1031,15.55052790346908
264,1023,15.429864253393665
265,1023,15.429864253393665
266,1020,15.384615384615385
267,1015,15.309200603318251
268,1013,15.279034690799397
269,1008,15.203619909502262
270,1005,15.158371040723981
271,1005,15.158371040723981
272,1002,15.113122171945701
273,999,15.06787330316742
274,997,15.037707390648567
275,989,14.917043740573153
276,986,14.871794871794872
277,983,14.826546003016592
278,981,14.796380090497738
279,978,14.751131221719458
280,974,14.69079939668175
281,974,14.69079939668175
282,973,14.675716440422324
283,973,14.675716440422324
284,973,14.675716440422324
285,972,14.660633484162897
286,967,14.585218702865763
287,967,14.585218702865763
288,955,14.404223227752638
289,934,14.087481146304675
290,921,13.891402714932127
291,920,13.8763197586727
292,919,13.861236802413273
293,919,13.861236802413273
294,919,13.861236802413273
295,919,13.861236802413273
296,913,13.770739064856713
297,880,13.273001508295627
298,865,13.046757164404225
299,749,11.29713423831071
300,746,11.25188536953243
301,724,10.920060331825038
302,724,10.920060331825038
303,717,10.81447963800905
304,715,10.784313725490197
305,702,10.588235294117647
306,702,10.588235294117647
307,510,7.6923076923076925
308,510,7.6923076923076925
309,510,7.6923076923076925
310,510,7.6923076923076925
311,505,7.616892911010558
312,505,7.616892911010558
313,505,7.616892911010558
314,502,7.571644042232277
315,499,7.526395173453997
316,459,6.923076923076923
317,459,6.923076923076923
318,457,6.89291101055807
319,457,6.89291101055807
320,456,6.877828054298643
321,456,6.877828054298643
322,456,6.877828054298643
323,455,6.862745098039216
324,455,6.862745098039216
325,455,6.862745098039216
326,455,6.862745098039216
327,455,6.862745098039216
328,454,6.847662141779789
329,454,6.847662141779789
330,454,6.847662141779789
331,454,6.847662141779789
332,454,6.847662141779789
333,454,6.847662141779789
334,454,6.847662141779789
335,445,6.711915535444947
336,445,6.711915535444947
337,442,6.666666666666667
338,442,6.666666666666667
339,442,6.666666666666667
340,442,6.666666666666667
341,414,6.244343891402715
342,404,6.093514328808446
343,404,6.093514328808446
344,404,6.093514328808446
345,404,6.093514328808446
346,404,6.093514328808446
347,404,6.093514328808446
348,404,6.093514328808446
349,404,6.093514328808446
350,396,5.972850678733032
351,396,5.972850678733032
352,396,5.972850678733032
353,396,5.972850678733032
354,396,5.972850678733032
355,235,3.544494720965309
356,235,3.544494720965309
357,235,3.544494720965309
358,235,3.544494720965309
359,235,3.544494720965309
360,235,3.544494720965309
361,235,3.544494720965309
362,235,3.544494720965309
363,235,3.544494720965309
364,235,3.544494720965309
365,235,3.544494720965309
366,235,3.544494720965309
367,235,3.544494720965309
368,235,3.544494720965309
369,235,3.544494720965309
370,235,3.544494720965309
371,235,3.544494720965309
372,235,3.544494720965309
373,235,3.544494720965309
374,235,3.544494720965309
375,235,3.544494720965309
376,235,3.544494720965309
377,235,3.544494720965309
378,234,3.5294117647058822
379,234,3.5294117647058822
380,234,3.5294117647058822
381,234,3.5294117647058822
382,225,3.3936651583710407
383,225,3.3936651583710407
384,222,3.3484162895927603
385,222,3.3484162895927603
386,222,3.3484162895927603
387,222,3.3484162895927603
388,222,3.3484162895927603
389,222,3.3484162895927603
390,222,3.3484162895927603
391,222,3.3484162895927603
392,222,3.3484162895927603
393,222,3.3484162895927603
394,222,3.3484162895927603
395,216,3.2579185520361995
396,216,3.2579185520361995
397,216,3.2579185520361995
398,179,2.699849170437406
399,179,2.699849170437406
400,179,2.699849170437406
401,179,2.699849170437406
402,179,2.699849170437406
403,173,2.6093514328808447
404,173,2.6093514328808447
405,173,2.6093514328808447
406,173,2.6093514328808447
407,173,2.6093514328808447
408,173,2.6093514328808447
409,173,2.6093514328808447
410,173,2.6093514328808447
411,173,2.6093514328808447
412,173,2.6093514328808447
413,173,2.6093514328808447
414,173,2.6093514328808447
415,173,2.6093514328808447
416,173,2.6093514328808447
417,173,2.6093514328808447
418,173,2.6093514328808447
419,142,2.1417797888386123
420,142,2.1417797888386123
421,142,2.1417797888386123
422,142,2.1417797888386123
423,142,2.1417797888386123
424,142,2.1417797888386123
425,142,2.1417797888386123
426,142,2.1417797888386123
427,142,2.1417797888386123
428,142,2.1417797888386123
429,142,2.1417797888386123
430,142,2.1417797888386123
431,142,2.1417797888386123
432,142,2.1417797888386123
433,142,2.1417797888386123
434,142,2.1417797888386123
435,142,2.1417797888386123
436,142,2.1417797888386123
437,142,2.1417797888386123
438,142,2.1417797888386123
439,142,2.1417797888386123
440,142,2.1417797888386123
441,142,2.1417797888386123
442,142,2.1417797888386123
443,142,2.1417797888386123
444,141,2.1266968325791855
445,141,2.1266968325791855
446,141,2.1266968325791855
447,141,2.1266968325791855
448,141,2.1266968325791855
449,141,2.1266968325791855
450,141,2.1266968325791855
451,141,2.1266968325791855
452,141,2.1266968325791855
453,141,2.1266968325791855
454,141,2.1266968325791855
455,141,2.1266968325791855
456,141,2.1266968325791855
457,141,2.1266968325791855
458,141,2.1266968325791855
459,141,2.1266968325791855
460,141,2.1266968325791855
461,141,2.1266968325791855
462,141,2.1266968325791855
463,141,2.1266968325791855
464,141,2.1266968325791855
465,141,2.1266968325791855
466,141,2.1266968325791855
467,141,2.1266968325791855
468,141,2.1266968325791855
469,141,2.1266968325791855
470,141,2.1266968325791855
471,141,2.1266968325791855
472,141,2.1266968325791855
473,112,1.689291101055807
474,112,1.689291101055807
475,112,1.689291101055807
476,112,1.689291101055807
477,112,1.689291101055807
478,112,1.689291101055807
479,112,1.689291101055807
480,112,1.689291101055807
481,112,1.689291101055807
482,112,1.689291101055807
483,112,1.689291101055807
484,112,1.689291101055807
485,112,1.689291101055807
486,112,1.689291101055807
487,112,1.689291101055807
488,112,1.689291101055807
489,112,1.689291101055807
490,112,1.689291101055807
491,112,1.689291101055807
492,112,1.689291101055807
493,112,1.689291101055807
494,112,1.689291101055807
495,112,1.689291101055807
496,112,1.689291101055807
497,70,1.0558069381598794
498,70,1.0558069381598794
499,70,1.0558069381598794
500,70,1.0558069381598794
501,70,1.0558069381598794
502,70,1.0558069381598794
503,70,1.0558069381598794
504,70,1.0558069381598794
505,70,1.0558069381598794
506,70,1.0558069381598794
507,70,1.0558069381598794
508,70,1.0558069381598794
509,70,1.0558069381598794
510,70,1.0558069381598794
511,70,1.0558069381598794
512,70,1.0558069381598794
513,70,1.0558069381598794
514,70,1.0558069381598794
515,70,1.0558069381598794
516,70,1.0558069381598794
517,70,1.0558069381598794
518,70,1.0558069381598794
519,70,1.0558069381598794
520,70,1.0558069381598794
521,70,1.0558069381598794
522,70,1.0558069381598794
523,70,1.0558069381598794
524,70,1.0558069381598794
525,70,1.0558069381598794
526,70,1.0558069381598794
527,70,1.0558069381598794
528,70,1.0558069381598794
529,70,1.0558069381598794
530,70,1.0558069381598794
531,70,1.0558069381598794
532,70,1.0558069381598794
533,70,1.0558069381598794
534,70,1.0558069381598794
535,70,1.0558069381598794
536,70,1.0558069381598794
537,70,1.0558069381598794
538,70,1.0558069381598794
539,70,1.0558069381598794
540,70,1.0558069381598794
541,70,1.0558069381598794
542,70,1.0558069381598794
543,70,1.0558069381598794
544,70,1.0558069381598794
545,70,1.0558069381598794
546,70,1.0558069381598794
547,70,1.0558069381598794
548,70,1.0558069381598794
549,70,1.0558069381598794
550,70,1.0558069381598794
551,70,1.0558069381598794
552,70,1.0558069381598794
553,70,1.0558069381598794
554,70,1.0558069381598794
555,70,1.0558069381598794
556,70,1.0558069381598794
557,70,1.0558069381598794
558,70,1.0558069381598794
559,70,1.0558069381598794
560,70,1.0558069381598794
561,70,1.0558069381598794
562,70,1.0558069381598794
563,70,1.0558069381598794
564,70,1.0558069381598794
565,70,1.0558069381598794
566,70,1.0558069381598794
567,70,1.0558069381598794
568,70,1.0558069381598794
569,70,1.0558069381598794
570,70,1.0558069381598794
571,70,1.0558069381598794
572,70,1.0558069381598794
573,70,1.0558069381598794
574,70,1.0558069381598794
575,70,1.0558069381598794
576,70,1.0558069381598794
577,70,1.0558069381598794
578,70,1.0558069381598794
579,70,1.0558069381598794
580,70,1.0558069381598794
581,70,1.0558069381598794
582,70,1.0558069381598794
583,70,1.0558069381598794
584,70,1.0558069381598794
585,70,1.0558069381598794
586,70,1.0558069381598794
587,70,1.0558069381598794
588,70,1.0558069381598794
589,70,1.0558069381598794
590,70,1.0558069381598794
591,70,1.0558069381598794
592,70,1.0558069381598794
593,70,1.0558069381598794
594,70,1.0558069381598794
595,70,1.0558069381598794
596,70,1.0558069381598794
597,70,1.0558069381598794
598,70,1.0558069381598794
599,70,1.0558069381598794
600,70,1.0558069381598794
601,70,1.0558069381598794
602,70,1.0558069381598794
603,70,1.0558069381598794
604,70,1.0558069381598794
605,70,1.0558069381598794
606,69,1.0407239819004523
607,69,1.0407239819004523
608,69,1.0407239819004523
609,69,1.0407239819004523
610,69,1.0407239819004523
611,69,1.0407239819004523
612,69,1.0407239819004523
613,69,1.0407239819004523
614,69,1.0407239819004523
615,69,1.0407239819004523
616,69,1.0407239819004523
617,69,1.0407239819004523
618,69,1.0407239819004523
619,69,1.0407239819004523
620,69,1.0407239819004523
621,69,1.0407239819004523
622,69,1.0407239819004523
623,69,1.0407239819004523
624,69,1.0407239819004523
625,69,1.0407239819004523
626,69,1.0407239819004523
627,69,1.0407239819004523
628,69,1.0407239819004523
629,69,1.0407239819004523
630,69,1.0407239819004523
631,67,1.0105580693815988
632,67,1.0105580693815988
633,67,1.0105580693815988
634,67,1.0105580693815988
635,67,1.0105580693815988
636,67,1.0105580693815988
637,67,1.0105580693815988
638,67,1.0105580693815988
639,67,1.0105580693815988
640,67,1.0105580693815988
641,67,1.0105580693815988
642,67,1.0105580693815988
643,67,1.0105580693815988
644,67,1.0105580693815988
645,65,0.9803921568627451
646,65,0.9803921568627451
647,65,0.9803921568627451
648,65,0.9803921568627451
649,65,0.9803921568627451
650,65,0.9803921568627451
651,65,0.9803921568627451
652,65,0.9803921568627451
653,65,0.9803921568627451
654,65,0.9803921568627451
655,65,0.9803921568627451
656,65,0.9803921568627451
657,65,0.9803921568627451
658,65,0.9803921568627451
659,65,0.9803921568627451
660,65,0.9803921568627451
661,65,0.9803921568627451
662,65,0.9803921568627451
663,65,0.9803921568627451
664,65,0.9803921568627451
665,65,0.9803921568627451
666,65,0.9803921568627451
667,65,0.9803921568627451
668,65,0.9803921568627451
669,65,0.9803921568627451
670,65,0.9803921568627451
671,65,0.9803921568627451
672,65,0.9803921568627451
673,65,0.9803921568627451
674,65,0.9803921568627451
675,65,0.9803921568627451
676,65,0.9803921568627451
677,65,0.9803921568627451
678,65,0.9803921568627451
679,65,0.9803921568627451
680,65,0.9803921568627451
681,65,0.9803921568627451
682,43,0.6485671191553545
683,43,0.6485671191553545
684,43,0.6485671191553545
685,43,0.6485671191553545
686,43,0.6485671191553545
687,43,0.6485671191553545
688,43,0.6485671191553545
689,43,0.6485671191553545
690,43,0.6485671191553545
691,43,0.6485671191553545
692,43,0.6485671191553545
693,43,0.6485671191553545
694,43,0.6485671191553545
695,43,0.6485671191553545
696,43,0.6485671191553545
697,43,0.6485671191553545
698,43,0.6485671191553545
699,36,0.5429864253393665
700,36,0.5429864253393665
701,36,0.5429864253393665
702,36,0.5429864253393665
703,36,0.5429864253393665
704,36,0.5429864253393665
705,36,0.5429864253393665
706,36,0.5429864253393665
707,36,0.5429864253393665
708,36,0.5429864253393665
709,36,0.5429864253393665
710,36,0.5429864253393665
711,36,0.5429864253393665
712,36,0.5429864253393665
713,36,0.5429864253393665
714,36,0.5429864253393665
715,36,0.5429864253393665
716,36,0.5429864253393665
717,36,0.5429864253393665
718,36,0.5429864253393665
719,36,0.5429864253393665
720,36,0.5429864253393665
721,36,0.5429864253393665
722,36,0.5429864253393665
723,36,0.5429864253393665
724,36,0.5429864253393665
725,36,0.5429864253393665
726,36,0.5429864253393665
727,36,0.5429864253393665
728,36,0.5429864253393665
729,36,0.5429864253393665
730,36,0.5429864253393665
731,36,0.5429864253393665
732,36,0.5429864253393665
733,36,0.5429864253393665
734,36,0.5429864253393665
735,36,0.5429864253393665
736,36,0.5429864253393665
737,36,0.5429864253393665
738,36,0.5429864253393665
739,36,0.5429864253393665
740,36,0.5429864253393665
741,36,0.5429864253393665
742,36,0.5429864253393665
743,36,0.5429864253393665
744,36,0.5429864253393665
745,36,0.5429864253393665
746,36,0.5429864253393665
747,36,0.5429864253393665
748,36,0.5429864253393665
749,36,0.5429864253393665
750,36,0.5429864253393665
751,36,0.5429864253393665
752,36,0.5429864253393665
753,36,0.5429864253393665
754,36,0.5429864253393665
755,36,0.5429864253393665
756,36,0.5429864253393665
757,36,0.5429864253393665
758,36,0.5429864253393665
759,36,0.5429864253393665
760,36,0.5429864253393665
761,36,0.5429864253393665
762,36,0.5429864253393665
763,36,0.5429864253393665
764,36,0.5429864253393665
765,36,0.5429864253393665
766,36,0.5429864253393665
767,36,0.5429864253393665
768,36,0.5429864253393665
769,36,0.5429864253393665
770,36,0.5429864253393665
771,36,0.5429864253393665
772,36,0.5429864253393665
773,36,0.5429864253393665
774,36,0.5429864253393665
775,36,0.5429864253393665
776,36,0.5429864253393665
777,36,0.5429864253393665
778,36,0.5429864253393665
779,36,0.5429864253393665
780,36,0.5429864253393665
781,36,0.5429864253393665
782,36,0.5429864253393665
783,36,0.5429864253393665
784,36,0.5429864253393665
785,36,0.5429864253393665
786,36,0.5429864253393665
787,36,0.5429864253393665
788,36,0.5429864253393665
789,36,0.5429864253393665
790,36,0.5429864253393665
791,36,0.5429864253393665
792,36,0.5429864253393665
793,36,0.5429864253393665
794,36,0.5429864253393665
795,36,0.5429864253393665
796,36,0.5429864253393665
797,36,0.5429864253393665
798,36,0.5429864253393665
799,36,0.5429864253393665
800,36,0.5429864253393665
801,36,0.5429864253393665
802,36,0.5429864253393665
803,36,0.5429864253393665
804,36,0.5429864253393665
805,36,0.5429864253393665
806,36,0.5429864253393665
807,36,0.5429864253393665
808,36,0.5429864253393665
809,36,0.5429864253393665
810,36,0.5429864253393665
811,36,0.5429864253393665
812,36,0.5429864253393665
813,36,0.5429864253393665
814,36,0.5429864253393665
815,36,0.5429864253393665
816,36,0.5429864253393665
817,33,0.4977375565610859
818,33,0.4977375565610859
819,33,0.4977375565610859
820,33,0.4977375565610859
821,33,0.4977375565610859
822,33,0.4977375565610859
823,33,0.4977375565610859
824,33,0.4977375565610859
825,33,0.4977375565610859
826,33,0.4977375565610859
827,33,0.4977375565610859
828,33,0.4977375565610859
829,33,0.4977375565610859
830,33,0.4977375565610859
831,33,0.4977375565610859
832,33,0.4977375565610859
833,33,0.4977375565610859
834,33,0.4977375565610859
835,33,0.4977375565610859
836,33,0.4977375565610859
837,33,0.4977375565610859
838,33,0.4977375565610859
839,33,0.4977375565610859
840,33,0.4977375565610859
841,33,0.4977375565610859
842,33,0.4977375565610859
843,33,0.4977375565610859
844,33,0.4977375565610859
845,33,0.4977375565610859
846,33,0.4977375565610859
847,33,0.4977375565610859
848,33,0.4977375565610859
849,33,0.4977375565610859
850,33,0.4977375565610859
851,33,0.4977375565610859
852,33,0.4977375565610859
853,33,0.4977375565610859
854,33,0.4977375565610859
855,33,0.4977375565610859
856,33,0.4977375565610859
857,33,0.4977375565610859
858,33,0.4977375565610859
859,33,0.4977375565610859
860,33,0.4977375565610859
861,33,0.4977375565610859
862,33,0.4977375565610859
863,33,0.4977375565610859
864,33,0.4977375565610859
865,33,0.4977375565610859
866,33,0.4977375565610859
867,33,0.4977375565610859
868,33,0.4977375565610859
869,33,0.4977375565610859
870,33,0.4977375565610859
871,33,0.4977375565610859
872,33,0.4977375565610859
873,33,0.4977375565610859
874,33,0.4977375565610859
875,33,0.4977375565610859
876,33,0.4977375565610859
877,33,0.4977375565610859
878,33,0.4977375565610859
879,33,0.4977375565610859
880,33,0.4977375565610859
881,33,0.4977375565610859
882,33,0.4977375565610859
883,33,0.4977375565610859
884,33,0.4977375565610859
885,33,0.4977375565610859
886,33,0.4977375565610859
887,33,0.4977375565610859
888,33,0.4977375565610859
889,33,0.4977375565610859
890,33,0.4977375565610859
891,33,0.4977375565610859
892,33,0.4977375565610859
893,33,0.4977375565610859
894,33,0.4977375565610859
895,33,0.4977375565610859
896,33,0.4977375565610859
897,33,0.4977375565610859
898,33,0.4977375565610859
899,33,0.4977375565610859
900,33,0.4977375565610859
901,33,0.4977375565610859
902,33,0.4977375565610859
903,33,0.4977375565610859
904,33,0.4977375565610859
905,33,0.4977375565610859
906,33,0.4977375565610859
907,33,0.4977375565610859
908,33,0.4977375565610859
909,33,0.4977375565610859
910,33,0.4977375565610859
911,33,0.4977375565610859
912,33,0.4977375565610859
913,33,0.4977375565610859
914,33,0.4977375565610859
915,33,0.4977375565610859
916,33,0.4977375565610859
917,33,0.4977375565610859
918,33,0.4977375565610859
919,33,0.4977375565610859
920,32,0.48265460030165913
921,15,0.22624434389140274
922,15,0.22624434389140274
923,15,0.22624434389140274
924,15,0.22624434389140274
925,15,0.22624434389140274
926,15,0.22624434389140274
927,15,0.22624434389140274
928,15,0.22624434389140274
929,15,0.22624434389140274
930,15,0.22624434389140274
931,15,0.22624434389140274
932,15,0.22624434389140274
933,15,0.22624434389140274
934,15,0.22624434389140274
935,15,0.22624434389140274
936,15,0.22624434389140274
937,15,0.22624434389140274
938,15,0.22624434389140274
939,15,0.22624434389140274
940,15,0.22624434389140274
941,15,0.22624434389140274
942,15,0.22624434389140274
943,15,0.22624434389140274
944,15,0.22624434389140274
945,15,0.22624434389140274
946,15,0.22624434389140274
947,15,0.22624434389140274
948,15,0.22624434389140274
949,15,0.22624434389140274
950,15,0.22624434389140274
951,15,0.22624434389140274
952,15,0.22624434389140274
953,15,0.22624434389140274
954,15,0.22624434389140274
955,15,0.22624434389140274
956,15,0.22624434389140274
957,15,0.22624434389140274
958,15,0.22624434389140274
959,15,0.22624434389140274
960,15,0.22624434389140274
961,15,0.22624434389140274
962,15,0.22624434389140274
963,15,0.22624434389140274
964,15,0.22624434389140274
965,15,0.22624434389140274
966,15,0.22624434389140274
967,15,0.22624434389140274
968,15,0.22624434389140274
969,15,0.22624434389140274
970,15,0.22624434389140274
971,15,0.22624434389140274
972,15,0.22624434389140274
973,15,0.22624434389140274
974,15,0.22624434389140274
975,15,0.22624434389140274
976,15,0.22624434389140274
977,15,0.22624434389140274
978,15,0.22624434389140274
979,15,0.22624434389140274
980,15,0.22624434389140274
981,15,0.22624434389140274
982,15,0.22624434389140274
983,15,0.22624434389140274
984,15,0.22624434389140274
985,15,0.22624434389140274
986,15,0.22624434389140274
987,15,0.22624434389140274
988,15,0.22624434389140274
989,15,0.22624434389140274
990,15,0.22624434389140274
991,15,0.22624434389140274
992,15,0.22624434389140274
993,15,0.22624434389140274
994,15,0.22624434389140274
995,15,0.22624434389140274
996,15,0.22624434389140274
997,15,0.22624434389140274
998,15,0.22624434389140274
999,15,0.22624434389140274
1000,15,0.22624434389140274
1001,15,0.22624434389140274
1002,15,0.22624434389140274
1003,15,0.22624434389140274
1004,15,0.22624434389140274
1005,15,0.22624434389140274
1006,15,0.22624434389140274
1007,15,0.22624434389140274
1008,15,0.22624434389140274
1009,15,0.22624434389140274
1010,15,0.22624434389140274
1011,15,0.22624434389140274
1012,15,0.22624434389140274
1013,15,0.22624434389140274
1014,15,0.22624434389140274
1015,15,0.22624434389140274
1016,15,0.22624434389140274
1017,15,0.22624434389140274
1018,15,0.22624434389140274
1019,15,0.22624434389140274
1020,15,0.22624434389140274
1021,15,0.22624434389140274
1022,15,0.22624434389140274
1023,15,0.22624434389140274
1024,15,0.22624434389140274
1025,15,0.22624434389140274
1026,15,0.22624434389140274
1027,15,0.22624434389140274
1028,15,0.22624434389140274
1029,15,0.22624434389140274
1030,15,0.22624434389140274
1031,15,0.22624434389140274
1032,15,0.22624434389140274
1033,15,0.22624434389140274
1034,15,0.22624434389140274
1035,15,0.22624434389140274
1036,15,0.22624434389140274
1037,15,0.22624434389140274
1038,15,0.22624434389140274
1039,15,0.22624434389140274
1040,15,0.22624434389140274
1041,15,0.22624434389140274
1042,15,0.22624434389140274
1043,15,0.22624434389140274
1044,15,0.22624434389140274
1045,15,0.22624434389140274
1046,15,0.22624434389140274
1047,15,0.22624434389140274
1048,15,0.22624434389140274
1049,15,0.22624434389140274
1050,15,0.22624434389140274
1051,15,0.22624434389140274
1052,15,0.22624434389140274
1053,15,0.22624434389140274
1054,15,0.22624434389140274
1055,15,0.22624434389140274
1056,15,0.22624434389140274
1057,15,0.22624434389140274
1058,15,0.22624434389140274
1059,15,0.22624434389140274
1060,15,0.22624434389140274
1061,15,0.22624434389140274
1062,15,0.22624434389140274
1063,15,0.22624434389140274
1064,15,0.22624434389140274
1065,15,0.22624434389140274
1066,15,0.22624434389140274
1067,15,0.22624434389140274
1068,15,0.22624434389140274
1069,15,0.22624434389140274
1070,10,0.1508295625942685
1071,10,0.1508295625942685
1072,10,0.1508295625942685
1073,10,0.1508295625942685
1074,10,0.1508295625942685
1075,10,0.1508295625942685
1076,10,0.1508295625942685
1077,10,0.1508295625942685
